m,country,years,age,survivors
MWI,Malawi,2005-2010,45.0,56863.17
MWI,Malawi,2005-2010,50.0,52616.16
MWI,Malawi,2005-2010,55.0,49756.82
MWI,Malawi,2005-2010,60.0,47038.24
MWI,Malawi,2005-2010,65.0,43414.34
MWI,Malawi,2005-2010,70.0,37897.54
MWI,Malawi,2005-2010,75.0,29623.65
MWI,Malawi,2005-2010,80.0,19005.62
MWI,Malawi,2005-2010,85.0,8769.06
BEN,Benin,2005-2010,0.0,100000.0
BEN,Benin,2005-2010,1.0,93348.99
BEN,Benin,2005-2010,5.0,89314.18
BEN,Benin,2005-2010,10.0,87891.9
BEN,Benin,2005-2010,15.0,87076.11
BEN,Benin,2005-2010,20.0,85859.22
BEN,Benin,2005-2010,25.0,84312.99
BEN,Benin,2005-2010,30.0,82602.95
BEN,Benin,2005-2010,35.0,80829.37
BEN,Benin,2005-2010,40.0,78875.5
BEN,Benin,2005-2010,45.0,76686.12
BEN,Benin,2005-2010,50.0,74182.97
BEN,Benin,2005-2010,55.0,70849.78
BEN,Benin,2005-2010,60.0,66382.69
BEN,Benin,2005-2010,65.0,59650.01
BEN,Benin,2005-2010,70.0,50027.78
BEN,Benin,2005-2010,75.0,36793.64
BEN,Benin,2005-2010,80.0,21671.43
BEN,Benin,2005-2010,85.0,8771.98
ZWE,Zimbabwe,2005-2010,0.0,100000.0
ZWE,Zimbabwe,2005-2010,1.0,95173.36
ZWE,Zimbabwe,2005-2010,5.0,92999.28
ZWE,Zimbabwe,2005-2010,10.0,91328.35
ZWE,Zimbabwe,2005-2010,15.0,89444.79
ZWE,Zimbabwe,2005-2010,20.0,87926.55
ZWE,Zimbabwe,2005-2010,25.0,85995.53
ZWE,Zimbabwe,2005-2010,30.0,78819.15
ZWE,Zimbabwe,2005-2010,35.0,65585.04
ZWE,Zimbabwe,2005-2010,40.0,49702.95
ZWE,Zimbabwe,2005-2010,45.0,39907.86
ZWE,Zimbabwe,2005-2010,50.0,35515.73
ZWE,Zimbabwe,2005-2010,55.0,33288.46
ZWE,Zimbabwe,2005-2010,60.0,31411.1
ZWE,Zimbabwe,2005-2010,65.0,29056.63
ZWE,Zimbabwe,2005-2010,70.0,25813.05
ZWE,Zimbabwe,2005-2010,75.0,21300.9
ZWE,Zimbabwe,2005-2010,80.0,15390.98
ZWE,Zimbabwe,2005-2010,85.0,8850.72
BDI,Burundi,2005-2010,0.0,100000.0
BDI,Burundi,2005-2010,1.0,91498.72
BDI,Burundi,2005-2010,5.0,85937.55
BDI,Burundi,2005-2010,10.0,83558.53
BDI,Burundi,2005-2010,15.0,82050.73
BDI,Burundi,2005-2010,20.0,80504.63
BDI,Burundi,2005-2010,25.0,78767.29
BDI,Burundi,2005-2010,30.0,76424.0
BDI,Burundi,2005-2010,35.0,73198.53
BDI,Burundi,2005-2010,40.0,69011.03
BDI,Burundi,2005-2010,45.0,64921.76
BDI,Burundi,2005-2010,50.0,61034.83
BDI,Burundi,2005-2010,55.0,57045.85
BDI,Burundi,2005-2010,60.0,52502.09
BDI,Burundi,2005-2010,65.0,46599.43
BDI,Burundi,2005-2010,70.0,38812.14
BDI,Burundi,2005-2010,75.0,29050.04
BDI,Burundi,2005-2010,80.0,18443.2
BDI,Burundi,2005-2010,85.0,8961.76
SSD,South Sudan,2005-2010,0.0,100000.0
SSD,South Sudan,2005-2010,1.0,91644.59
SSD,South Sudan,2005-2010,5.0,86292.02
SSD,South Sudan,2005-2010,10.0,84072.13
SSD,South Sudan,2005-2010,15.0,82803.61
SSD,South Sudan,2005-2010,20.0,81384.74
SSD,South Sudan,2005-2010,25.0,79549.53
SSD,South Sudan,2005-2010,30.0,76719.9
SSD,South Sudan,2005-2010,35.0,73226.5
SSD,South Sudan,2005-2010,40.0,69182.15
SSD,South Sudan,2005-2010,45.0,65286.9
SSD,South Sudan,2005-2010,50.0,61390.94
SSD,South Sudan,2005-2010,55.0,57286.74
SSD,South Sudan,2005-2010,60.0,52646.27
SSD,South Sudan,2005-2010,65.0,46731.3
SSD,South Sudan,2005-2010,70.0,38988.71
SSD,South Sudan,2005-2010,75.0,29270.84
SSD,South Sudan,2005-2010,80.0,18671.97
SSD,South Sudan,2005-2010,85.0,9132.43
ZMB,Zambia,2005-2010,0.0,100000.0
ZMB,Zambia,2005-2010,1.0,92716.51
ZMB,Zambia,2005-2010,5.0,88422.12
ZMB,Zambia,2005-2010,10.0,86251.97
ZMB,Zambia,2005-2010,15.0,84431.41
ZMB,Zambia,2005-2010,20.0,82889.99
ZMB,Zambia,2005-2010,25.0,80922.69
ZMB,Zambia,2005-2010,30.0,77239.11
ZMB,Zambia,2005-2010,35.0,72321.53
ZMB,Zambia,2005-2010,40.0,65845.07
ZMB,Zambia,2005-2010,45.0,60017.07
ZMB,Zambia,2005-2010,50.0,54973.7
ZMB,Zambia,2005-2010,55.0,50654.17
ZMB,Zambia,2005-2010,60.0,46401.8
ZMB,Zambia,2005-2010,65.0,41394.18
ZMB,Zambia,2005-2010,70.0,35021.44
ZMB,Zambia,2005-2010,75.0,26940.75
ZMB,Zambia,2005-2010,80.0,17806.99
ZMB,Zambia,2005-2010,85.0,9195.79
CMR,Cameroon,2005-2010,0.0,100000.0
CMR,Cameroon,2005-2010,1.0,92364.49
CMR,Cameroon,2005-2010,5.0,87618.29
CMR,Cameroon,2005-2010,10.0,85588.78
CMR,Cameroon,2005-2010,15.0,84366.52
CMR,Cameroon,2005-2010,20.0,83037.95
CMR,Cameroon,2005-2010,25.0,81253.67
CMR,Cameroon,2005-2010,30.0,78228.05
CMR,Cameroon,2005-2010,35.0,74284.2
CMR,Cameroon,2005-2010,40.0,69468.84
CMR,Cameroon,2005-2010,45.0,65053.45
CMR,Cameroon,2005-2010,50.0,60866.22
CMR,Cameroon,2005-2010,55.0,56713.57
CMR,Cameroon,2005-2010,60.0,52191.59
CMR,Cameroon,2005-2010,65.0,46507.13
CMR,Cameroon,2005-2010,70.0,39079.96
CMR,Cameroon,2005-2010,75.0,29674.09
CMR,Cameroon,2005-2010,80.0,19231.2
CMR,Cameroon,2005-2010,85.0,9628.03
ZAF,South Africa,2005-2010,0.0,100000.0
ZAF,South Africa,2005-2010,1.0,95401.39
ZAF,South Africa,2005-2010,5.0,93676.89
ZAF,South Africa,2005-2010,10.0,92474.28
ZAF,South Africa,2005-2010,15.0,91605.06
ZAF,South Africa,2005-2010,20.0,91012.44
ZAF,South Africa,2005-2010,25.0,89423.45
ZAF,South Africa,2005-2010,30.0,83947.83
ZAF,South Africa,2005-2010,35.0,76427.52
ZAF,South Africa,2005-2010,40.0,67363.78
ZAF,South Africa,2005-2010,45.0,60248.99
ZAF,South Africa,2005-2010,50.0,53838.02
ZAF,South Africa,2005-2010,55.0,48547.26
